COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;Interesados en firmar Inmobiliario Córdoba;LOCALIDAD;DEPARTAMENTO;CUIT;POBLACIÓN 
SI ;SI;2020;SI;SI;SI;SI;SI;;SI;SI;SI;Pendiente;;LAS CALERAS;CALAMUCHITA;30669239455;268
SI ;SI WEB;No Vigente;SI;Pendiente;Pendiente;Pendiente;;;SI;Pendiente;Pendiente;Pendiente;;LAS CALLES;SAN ALBERTO;30668564212;700
NO;NO;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;;;;;;LAS CAÑADAS;CRUZ DEL EJE;30680988745;272
SI ;SI;2021;SI;SI;SI;SI;;;;;;;;LAS GRAMILLAS;RIO PRIMERO;30999051509;109
SI ;SI;Sin convenio;NO;;;;SI;;SI;Pendiente;Pendiente;Pendiente;;LAS HIGUERAS;RIO CUARTO;33668640139;6202
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS ISLETILLAS;TERCERO ARRIBA;30703376793;190
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS JUNTURAS;RIO SEGUNDO;30669240542;1748
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS PALMAS;POCHO;30999132479;123
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;;LAS PEÑAS;TOTORAL;30668655110;1664
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;SI;SI;Pendiente;;LAS PEÑAS SUD;RIO CUARTO;30999050510;148
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;LAS PERDICES;TERCERO ARRIBA;30659361511;5144
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;LAS PLAYAS;CRUZ DEL EJE;30669254535;962
SI;NO;2021;SI;SI;SI;SI;;;;;;;;LAS RABONAS;SAN ALBERTO;30677598286;703
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;LAS SALADAS;RIO PRIMERO;30669243371;134
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;SI;LAS TAPIAS;SAN JAVIER;30669190898;1936
SI ;SI;Sin convenio;NO;;;;;;;;;;;LAS VARAS;SAN JUSTO;30669188338;1320
SI ;SI;2021;SI;SI;SI;SI;;;01/03/2019;SI;SI;SI;;LAS VARILLAS;SAN JUSTO;30999101255;16316
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;LAS VERTIENTES;RIO CUARTO;30668761719;766
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;LEGUIZAMON;ROQUE SAENZ PEÑA;30999066344;55
SI ;SI;Sin convenio;NO;;;;;;01/01/2019;SI;SI;SI;;LEONES;MARCOS JUAREZ;33680973909;10529
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;LOS CEDROS;SANTA MARIA;30669245110;1092
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;LOS CERRILLOS;SAN JAVIER;30668543193;2306
NO;NO;Sin convenio;NO;;;;;;;;;;;LOS CHAÑARITOS;CRUZ DEL EJE;30685354787;219
SI ;SI ;2019;SI;SI;SI;ENVIO DNRPA 18.6;;;;;;;;LOS CHAÑARITOS;RIO SEGUNDO;30999099234;564
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;;LOS CISNES;JUAREZ CELMAN;30999045606;563
SI ;SI;Sin convenio;NO;;;;;;;;;;;LOS COCOS;PUNILLA;30999051126;1245
SI ;SI;Sin convenio;NO;;;;;;;;;;;LOS CONDORES;CALAMUCHITA;33669240169;2964
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;LOS HORNILLOS;SAN JAVIER;30682240462;1228
SI ;SI;2019;SI;SI;SI;SI;SI;SI;SI;Pendiente;SI;Pendiente;;LOS HOYOS;RIO SECO;30682321403;279
SI ;NO;2020;SI;SI;SI;SI;;;;;;;;LOS MISTOLES;TOTORAL;33668677849;187
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;;LOS MOLINOS;CALAMUCHITA;30668550467;338
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;LOS POZOS;ISCHILIN;30668746701;95
;;;;;;;;;;;;;;LOS REARTES;CALAMUCHITA;;1426
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;01/09/2018;SI;SI;SI;;LOS SURGENTES;MARCOS JUAREZ;30669249485;2795
NO;NO;Sin convenio;NO;;;;;;;;;;;LOS TALARES;POCHO;30668670675;157
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;LOS ZORROS;TERCERO ARRIBA;30677576487;512
NO;NO;Sin convenio;NO;;;;SI;SI;;;;;;LOZADA;SANTA MARIA;33999114569;1041
SI ;SI;Sin convenio;NO;;;;;;;;;;;LUCA;GENERAL SAN MARTIN;30680952406;563
SI ;SI;Sin convenio;NO;;;;;;;;;;;LUCIO V. MANSILLA;TULUMBA;33999246619;881
SI ;SI;2020;SI;SI;SI;SI;SI;SI;SI;SI;Pendiente;Pendiente;;LUQUE;RIO SEGUNDO;30668692164;6281
SI ;SI;2021;SI;SI;SI;SI;SI;;SI;Pendiente;Pendiente;Pendiente;;LUTTI;CALAMUCHITA;30669245668;183
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;LUYABA;SAN JAVIER;30637237159;1595
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;MALAGUEÑO;SANTA MARIA;30669114989;13102
NO;NO;Sin convenio;NO;;;;;;;;;;;MALENA;RIO CUARTO;30678660635;368
SI ;SI;Sin convenio;NO;;;;;;;;;;;MALVINAS ARGENTINAS;COLON;30677630678;12581
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/10/2018;SI;SI;SI;VIGENTE;MANFREDI;RIO SEGUNDO;30681019495;964
NO;NO;Sin convenio;NO;;;;;;;;;;;MAQUINISTA GALLINI;RIO PRIMERO;30999065739;69
SI ;SI;Sin convenio;NO;;;;;;01/03/2019;SI;SI;SI;;MARCOS JUAREZ;MARCOS JUAREZ;30657956550;27071
SI ;SI;2020;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/03/2019;SI;SI;SI;;MARULL;SAN JUSTO;30689784484;1799
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;;;;;;;;MATORRALES;RIO SEGUNDO;30999138965;981
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;;SI;Pendiente;SI;Pendiente;;MATTALDI;GENERAL ROCA;30678671726;1842
SI ;SI;2021;SI;SI;SI;SI;;;;;;;;MAYU SUMAJ;PUNILLA;30668561868;1383
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;;;;;;;;MEDIA NARANJA;CRUZ DEL EJE;30668758262;936
;jorgecarbelo@gmail.com;;;;;;;;;;;;;;;;
SI ;SI;Sin convenio;NO;;;;SI;SI;01/04/2021;SI;SI;;;MONTE DE LOS GAUCHOS;RIO CUARTO;33999063689;694
SI ;SI;Sin convenio;NO;;;;;;;;;;;MONTE LEÑA;UNION;30999122066;436
SI ;SI;Sin convenio;NO;;;;SI;SI;01/12/2018;SI;SI;SI;;MONTE MAIZ;UNION;30999122139;7478
NO;NO;Sin convenio;NO;;;;;;;;;;;MONTE RALO;SANTA MARIA;30999065666;535
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;;MORRISON;UNION;30669163181;3397
SI ;SI;Sin convenio;NO;;;;SI;SI;SI;Pendiente;SI;Pendiente;;MORTEROS;SAN JUSTO;30668756979;17124
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;;;SI;Pendiente;SI;Pendiente;;NICOLAS BRUZONE;GENERAL ROCA;30999063205;214
SI ;SI;2019;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;NOETINGER;UNION;30669251498;4923
SI ;SI;2020;SI;SI;SI;SI;;;;;;;;NONO;SAN ALBERTO;30999132614;2408
SI;NO;Sin convenio;NO;;;;;;01/07/2020;SI;SI;SI;;OBISPO TREJO;RIO PRIMERO;30999098246;2497
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;SI;OLAETA;JUAREZ CELMAN;30999050820;644
SI ;SI;Sin convenio;NO;;;;SI;SI;01/10/2018;SI;SI;SI;;OLIVA;TERCERO ARRIBA;30668555272;11809
NO;NO;Sin convenio;NO;;;;;;;;;;;OLIVARES DE SAN NICOLAS;ISCHILIN;30668755816;615
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;ONAGOITY;GENERAL ROCA;30999016916;63
SI ;SI;Sin convenio;NO;;;;;;01/01/2019;SI;SI;SI;;ONCATIVO;RIO SEGUNDO;30668256097;13295
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/01/2019;SI;SI;SI;SI;ORDOÑEZ;UNION;30668848628;2613
SI ;SI WEB;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;;PACHECO DE MELO;JUAREZ CELMAN;30668666139;60
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;Pendiente;Pendiente;;PAMPAYASTA NORTE;TERCERO ARRIBA;33999242419;95
SI ;SI;Sin convenio;NO;;;;SI;SI;SI;Pendiente;Pendiente;Pendiente;;PAMPAYASTA SUD;TERCERO ARRIBA;30669244815;1212
NO;NO;2021;SI;SI;SI;SI;;;;;;;;PANAHOLMA;SAN ALBERTO;30668661706;278
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;SI;SI;Pendiente;;PARQUE CALMAYO;CALAMUCHITA;33999062909;74
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;PASCANAS;UNION;33999114259;2779
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;01/02/2020;SI;SI;SI;;PASCO;GENERAL SAN MARTIN;30668847702;1201
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;PASO DEL DURAZNO;JUAREZ CELMAN;30668558557;55
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;;PASO VIEJO;CRUZ DEL EJE;30999038332;32
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;PILAR;RIO SEGUNDO;30668747244;14809
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;;PINCEN;GENERAL ROCA;30999045843;254
SI ;SI WEB;Sin convenio;NO;;;;SI;SI;01/05/2021;SI;SI;SI;SI;PIQUILLIN;RIO PRIMERO;30681010242;1364
SI ;SI;Sin convenio;NO;;;;;;;;;;;PLAZA DE MERCEDES;RIO PRIMERO;30669201202;67
SI ;SI WEB;Sin convenio;NO;;;;SI;SI;SI;;;;;PLAZA LUXARDO;SAN JUSTO;30669188028;195
SI ;SI;Baja de convenio enero 2020;NO;;;;SI;SI;;;;;;PORTEÑA;SAN JUSTO;30685355910;5439
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;POTRERO DE GARAY;SANTA MARIA;30999228328;1323
"claudiomartinez9696@gmail.com""";procuracion.pdg@gmail.com;;;;;;;;;;;;;;;;
SI ;SI;Sin convenio;NO;;;;;;01/11/2020;SI;SI;SI;;POZO DEL MOLLE;RIO SEGUNDO;33682240399;5718
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;Pendiente;SI;Pendiente;;POZO NUEVO;SOBREMONTE;30668834708;468
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/09/2021;SI;SI;;;PUEBLO ITALIANO;UNION;33682304419;1662
SI ;NO;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;PUESTO DE CASTRO;RIO SECO;33668668289;172
SI ;SI WEB;Sin convenio;NO;;;;SI;;;;;;;PUNTA DEL AGUA;TERCERO ARRIBA;30669170072;175
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;;;01/10/2018;SI;SI;SI;;QUEBRACHO HERRADO;SAN JUSTO;30999075696;388
SI (NO TENEMOS COPIA CONVENIO);NO;2020;SI;SI;SI;SI;;;SI;Pendiente;SI;Pendiente;;QUILINO;ISCHILIN;30681009392;5262
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;SI;SI;Pendiente;;RAFAEL GARCIA;SANTA MARIA;30668753694;565
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;RANQUELES;GENERAL ROCA;30678712678;67
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;RAYO CORTADO;RIO SECO;30999097320;691
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;;;SI;Pendiente;Pendiente;Pendiente;;REDUCCION;JUAREZ CELMAN;30680965710;1742
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;;;;;;;;RINCON;RIO SEGUNDO;30668760100;540
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;RIO CEBALLOS;COLON;30668413958;20242
SI ;SI;Sin convenio;NO;;;;;;01/03/2019;SI;SI;SI;;RIO CUARTO;RIO CUARTO;30999050685;158298
SI ;SI;Sin convenio;NO;;;;;;;;;;;RIO DE LOS SAUCES;CALAMUCHITA;30668659310;1326
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/05/2019;SI;SI;SI;;RIO PRIMERO;RIO PRIMERO;30999067642;7389
SI ;NO;Sin convenio;NO;;;;SI;;01/08/2020;SI;SI;SI;;RIO SEGUNDO;RIO SEGUNDO;30999014794;20427
SI ;SI;Sin convenio;NO;;;;;;;;;;;RIO TERCERO;TERCERO ARRIBA;30999229790;46800
SI ;SI;Sin convenio;NO;;;;;;;;;;;RIOBAMBA;ROQUE SAENZ PEÑA;30668757347;105
SI ;SI;2021;SI;SI;SI;SI;SI;SI;01/01/2021;SI;SI;SI;;ROSALES;ROQUE SAENZ PEÑA;30682306250;535
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;SI;SI;SI;Pendiente;SI;Pendiente;;ROSARIO DEL SALADILLO;TULUMBA;33669140229;178
SI ;SI;2021;SI;SI;;SI;SI;SI;SI;Pendiente;Pendiente;Pendiente;SI;SACANTA;SAN JUSTO;30681027064;3134
NO;NO;Sin convenio;NO;;;;;;;;;;;SAGRADA FAMILIA;RIO PRIMERO;30999115620;151
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;SI;;;;;;SAIRA;MARCOS JUAREZ;30668451132;812
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;SALADILLO;MARCOS JUAREZ;30999012333;186
SI ;SI;2020;SI;SI;SI;SI;SI;SI;SI;Pendiente;SI;Pendiente;;SALDAN;COLON;30678681063;10606
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;01/10/2018;SI;SI;SI;;SALSACATE;POCHO;30678707909;1728
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI ;SI;SI;Pendiente;SI;Pendiente;;SALSIPUEDES;COLON;30999051746;9842
SI ;SI;Sin convenio;NO;;;;SI;;01/10/2020;SI;SI;SI;;SAMPACHO;RIO CUARTO;30999099544;7846
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;;01/01/2020;SI;SI;SI;SI;SAN AGUSTIN;CALAMUCHITA;30678652063;3732
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;;;;;;;SAN ANTONIO DE ARREDONDO;PUNILLA;30668243858;3930
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;SI;01/04/2019;SI;SI;SI;;SAN ANTONIO DE LITIN;UNION;30999051819;1314
SI ;SI;Sin convenio;NO;;;;;;01/02/2020;SI;SI;SI;;SAN BASILIO;RIO CUARTO;30668553741;3225
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;01/02/2021;SI;SI;SI;;SAN CARLOS MINAS;MINAS;30681021880;1713
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;SAN CLEMENTE;SANTA MARIA;30999045533;240
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;SAN ESTEBAN;PUNILLA;30999057922;857
SI ;SI;Sin convenio;NO;;;;;;01/12/2018;SI;SI;SI;;SAN FRANCISCO;SAN JUSTO;30682254218;62211
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;Pendiente;Pendiente;Pendiente;;SAN FRANCISCO DEL CHAÑAR;SOBREMONTE;30669250718;2506
NO;NO;2021;SI;SI;SI;SI;;;;;;;;SAN JERONIMO;POCHO;30668652839;1825
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;;SAN IGNACIO;CALAMUCHITA;33669244059;602
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;Pendiente;Pendiente;;SAN JAVIER Y YACANTO;SAN JAVIER;30668770823;247
SI ;SI;Sin convenio;NO;;;;;;;;;;;SAN JOAQUIN;ROQUE SAENZ PEÑA;33633885899;140
SI ;SI WEB;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;SAN JOSE;SAN JAVIER;30999133157;2591
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;01/01/2021;SI;SI;SI;;SAN JOSE DE LA DORMIDA;TULUMBA;30687572722;4510
SI ;NO;2018;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;;;;;;SAN JOSE DE LAS SALINAS;TULUMBA;30669246583;777
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;SAN LORENZO;SAN ALBERTO;30668547229;1045
SI ;SI;2020;SI;SI;SI;SI;SI;SI;SI;SI;SI;Pendiente;;SAN MARCOS SIERRAS;CRUZ DEL EJE;33668256479;2199
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;SAN MARCOS SUD;UNION;30669239765;3145
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;SI;;SI;Pendiente;Pendiente;Pendiente;;SAN PEDRO;SAN ALBERTO;30682250875;4624
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;;SI;SI;SI;Pendiente;;SAN PEDRO NORTE;TULUMBA;30678715022;379
SI ;SI;No Vigente;SI;SI;Pendiente;SI;;;SI;Pendiente;SI;Pendiente;;SAN ROQUE;PUNILLA;30669246729;1128
SI ;SI;2021;SI;SI;SI;SI;;;SI;Pendiente;Pendiente;Pendiente;;SAN VICENTE;SAN ALBERTO;30999100267;1783
SI ;NO;Sin convenio;NO;;;;SI;SI;;;;;;SANTA CATALINA - HOLMBERG;RIO CUARTO;33682238149;3898
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;SANTA ELENA;RIO SECO;30999097495;296
;comunasantaelena@hotmail.com;12/11/1858;Firmada y guardada.;;;;;;;;;;;;;;
SI ;NO;2020;SI;SI;SI;SI;;;SI;SI;SI;Pendiente;;SARMIENTO;TOTORAL;30669165923;1455
SI ;SI;2020;SI;SI;SI;SI;SI;SI;01/08/2020;SI;SI;SI;;SATURNINO MARIA LASPIUR;SAN JUSTO;30669245048;2496
SI ;SI;Sin convenio;NO;;;;;;;;;;;SAUCE ARRIBA;SAN ALBERTO;30999132169;749
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;SEBASTIAN ELCANO;RIO SECO;30669192637;2481
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;SEEBER;SAN JUSTO;33668709139;620
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;SEGUNDA USINA;CALAMUCHITA;30999050758;170
SI ;SI;2021;SI;SI;SI;SI;;;01/02/2019;SI;SI;SI;;SERRANO;ROQUE SAENZ PEÑA;30668547393;3209
SI ;SI;Sin convenio;NO;;;;;;;;;;;SERREZUELA;CRUZ DEL EJE;30669358128;2678
SI ;SI;Sin convenio;NO;;;;SI;SI;01/08/2020;SI;SI;SI;;SILVIO PELLICO;GENERAL SAN MARTIN;30682313141;405
SI ;NO;Sin convenio;NO;;;;;;;;;;;SIMBOLAR;TOTORAL;30655431795;350
SI ;SI;2021;SI;SI;SI;SI;SI;SI;01/04/2019;SI;SI;SI;SI;SINSACATE;TOTORAL;30669096379;1344
SI ;SI WEB;Sin convenio;NO;;;;;;;;;;;SUCO;RIO CUARTO;30669249558;307
SI ;SI WEB;2021;SI;SI;SI;SI;;;;;;;;TALA CAÑADA;POCHO;30682242139;254
SI ;SI;Sin convenio;NO;;;;;;;;;;;TALA HUASI;PUNILLA;33668549069;147
NO;NO;Sin convenio;NO;;;;;;;;;;;TALAINI;MINAS;30999051053;123
SI ;SI;2021;SI;SI;SI;SI;SI;SI;01/03/2020;SI;SI;SI;;TANCACHA;TERCERO ARRIBA;30999013569;5309
SI ;SI;Sin convenio;NO;;;;;;;;;;;TANTI;PUNILLA;30999114322;6841
SI ;SI;Sin convenio;NO;;;;;;;;;;;TICINO;GENERAL SAN MARTIN;30682322493;2207
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;TINOCO;COLON;30999121833;514
SI ;SI;Sin convenio;NO;;;;;;;;;;;TIO PUJIO;GENERAL SAN MARTIN;30680996624;2676
SI ;SI;Sin convenio;NO;;;;;;;;;;;TOLEDO;SANTA MARIA;30669193862;4107
NO;NO;Sin convenio;NO;;;;SI;SI;;;;;;TORO PUJIO;SAN JUSTO;30668556953;173
SI ;NO;Sin convenio;NO;;;;;;;;;;;TOSNO;MINAS;30669127053;186
SI ;SI;Sin convenio;NO;;;;SI;;;;;;;TOSQUITA;RIO CUARTO;30669182844;414
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/03/2019;SI;SI;SI;;TRANSITO;SAN JUSTO;30668543959;3185
SI ;SI;Sin convenio;NO;;;;;;;;;;;TUCLAME;CRUZ DEL EJE;30999097630;
SI ;SI;Sin convenio;NO;;;;SI;SI;01/01/2019;SI;SI;SI;;UCACHA;JUAREZ CELMAN;30678677384;5167
SI ;SI;2020;SI;SI;SI;SI;;;01/03/2020;SI;SI;SI;;UNQUILLO;COLON;30680962819;18483
SI;NO;Sin convenio;NO;.;;;;;;;;;;VALLE DE ANISACATE;SANTA MARIA;30999027624;487
SI ;SI;2021;SI;SI;SI;SI;;;;;;;;VALLE HERMOSO;PUNILLA;30999115930;6252
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;Pendiente;Pendiente;;VIAMONTE;UNION;30999100712;1594
SI ;SI;Sin convenio;NO;;;;sI;SI;;;;;;VICUÑA MACKENNA;RIO CUARTO;33650575739;10170
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA ALLENDE;COLON;30668685273;28374
SI ;SI;No Vigente;SI;Pendiente;Pendiente;Pendiente;;;;;;;;VILLA AMANCAY;CALAMUCHITA;30999097940;450
SI ;SI;2020;SI;SI;SI;SI;SI;;01/04/2021;SI;SI;SI;;VILLA ASCASUBI;TERCERO ARRIBA;30682252541;2355
NO;NO;No Vigente;SI;SI;Pendiente;Pendiente;SI;SI;SI;Pendiente;SI;Pendiente;;VILLA CANDELARIA NORTE;RIO SECO;30678647531;280
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA CARLOS PAZ;PUNILLA;33677600689;62750
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;;;;;VILLA CERRO AZUL;COLON;30668681766;762
;;;;;;;;;;;;;;;;;
SI ;SI;2018;SI;Pendiente;SI;SI;SI;SI;SI;Pendiente;Pendiente;Pendiente;;VILLA CONCEPCION DEL TIO;SAN JUSTO;30652994543;1886
NO;NO;2021;SI;SI;SI;SI;SI;;SI;Pendiente;Pendiente;Pendiente;;VILLA CURA BROCHERO;SAN ALBERTO;30669243134;6351
SI ;SI WEB;2018;SI;SI;SI;SI;;;;;;;;VILLA DE LAS ROSAS;SAN JAVIER;30999132789;4116
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;;VILLA DE MARIA;RIO SECO;30669246273;4911
SI ;SI;2021;SI;SI;SI;SI;;;01/12/2020;SI;SI;SI;;VILLA DE POCHO;POCHO;30658464147;201
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA DE SOTO;CRUZ DEL EJE;30668685893;9927
SI ;SI;Sin convenio;NO;;;;SI;;SI;Pendiente;SI;Pendiente;;VILLA DEL DIQUE;CALAMUCHITA;30680951108;3303
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA DEL PRADO;SANTA MARIA;30999023041;2011
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA DEL ROSARIO;RIO SEGUNDO;30678650087;15394
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;;01/01/2021;SI;SI;SI;;VILLA DEL TOTORAL;TOTORAL;30657733365;8439
NO;SI;Sin convenio;NO;;;;;;;;;;;VILLA DOLORES;SAN JAVIER;30669121012;31853
NO;NO;Sin convenio;NO;;;;;;;;;;;VILLA EL CHACAY;RIO CUARTO;30668975034;84
SI;NO;Sin convenio;NO;;;;;;;;;;;VILLA ELISA;MARCOS JUAREZ;30999131936;26
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;01/03/2021;SI;SI;SI;;VILLA FONTANA;RIO PRIMERO;30668656346;939
SI ;SI;2018;SI;Pendiente;SI;SI;;;;;;;;VILLA GENERAL BELGRANO;CALAMUCHITA;30999111668;8257
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;;;;;;VILLA GIARDINO;PUNILLA;30682273425;6810
NO;NO;Sin convenio;NO;;;;;;;;;;;VILLA GUTIERREZ;ISCHILIN;30668746876;341
SI ;SI;2018;SI;Pendiente;Pendiente;ENVIO DNRPA 27.8;SI;;SI;Pendiente;SI;Pendiente;;VILLA HUIDOBRO;GENERAL ROCA;33677633269;5658
SI ;NO;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;VILLA LA BOLSA;SANTA MARIA;30677575634;995
SI;NO;2021;SI;SI;SI;SI;;;;;;;;VILLA LOS AROMOS;SANTA MARIA;30668262062;1378
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA LOS PATOS;UNION;30999066727;26
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA MARIA;GENERAL SAN MARTIN;30999062837;80006
SI ;SI;Baja de convenio el 17/01/2020;;;;;;;SI;Pendiente;SI;Pendiente;;VILLA NUEVA;GENERAL SAN MARTIN;30685341855;19362
